annee,code,valeur,source
1987,SP.POP.1564.TO.ZS,49.9079330379217,Banque mondiale
1988,SP.POP.1564.TO.ZS,50.0274842934156,Banque mondiale
1989,SP.POP.1564.TO.ZS,50.190860515503,Banque mondiale
1990,SP.POP.1564.TO.ZS,50.3838470528486,Banque mondiale
1991,SP.POP.1564.TO.ZS,50.6119914365766,Banque mondiale
1992,SP.POP.1564.TO.ZS,50.8746699933096,Banque mondiale
1993,SP.POP.1564.TO.ZS,51.1554064817337,Banque mondiale
1994,SP.POP.1564.TO.ZS,51.4371391353371,Banque mondiale
1995,SP.POP.1564.TO.ZS,51.7065695791673,Banque mondiale
1996,SP.POP.1564.TO.ZS,51.9605241593318,Banque mondiale
1997,SP.POP.1564.TO.ZS,52.1958540398848,Banque mondiale
1998,SP.POP.1564.TO.ZS,52.417348840655,Banque mondiale
1999,SP.POP.1564.TO.ZS,52.6264306635151,Banque mondiale
2000,SP.POP.1564.TO.ZS,52.8249714594122,Banque mondiale
2001,SP.POP.1564.TO.ZS,53.0174654864387,Banque mondiale
2002,SP.POP.1564.TO.ZS,53.2451801577915,Banque mondiale
2003,SP.POP.1564.TO.ZS,53.4347071627217,Banque mondiale
2004,SP.POP.1564.TO.ZS,53.5395472791747,Banque mondiale
2005,SP.POP.1564.TO.ZS,53.6341463892216,Banque mondiale
2006,SP.POP.1564.TO.ZS,53.713480354444,Banque mondiale
2007,SP.POP.1564.TO.ZS,53.7671819008511,Banque mondiale
2008,SP.POP.1564.TO.ZS,53.7929417802816,Banque mondiale
2009,SP.POP.1564.TO.ZS,53.7877179685264,Banque mondiale
2010,SP.POP.1564.TO.ZS,53.7588147597081,Banque mondiale
2011,SP.POP.1564.TO.ZS,53.7310989404075,Banque mondiale
2012,SP.POP.1564.TO.ZS,53.7078017649908,Banque mondiale
